Product,Total Sales (USD),Number of Purchases
#IamRemarkable Journal,240,40
#IamRemarkable Ladies T-Shirt,310,31
#IamRemarkable Lapel Pin,30,15
#IamRemarkable Pen,98,7
#IamRemarkable Tote,42,7
#IamRemarkable Unisex Hoodie,806,31
#IamRemarkable Unisex T-Shirt,610,61
#IamRemarkable Water Bottle,360,30
Android Buoy Bottle,220,55
Android Flex Journal White,4,2
Android Garden Tee Orange,552,32
Android Geek Pin,24,6
Android Hipster Pin,40,10
Android Iconic 4&quot; Decal,18,18
Android Iconic Backpack,175,7
Android Iconic Beanie,208,26
Android Iconic Bottle Black,24,1
Android Iconic Crewneck Sweatshirt,4752,108
Android Iconic Glass Bottle Green,208,16
Android Iconic Hat Black,261,29
Android Iconic Hat Green,351,27
Android Iconic Hat White,312,24
Android Iconic Mug Gray,527,31
Android Iconic Notebook,136,8
Android Iconic Pen,46,23
Android Iconic Pin,63,21
Android Iconic Socks,357,21
Android Iconic Sticker Sheet,42,14
Android Jotter Task Pad,26,13
Android Large Removable Sticker Sheet,110,55
Android Large Trace Journal Black,200,25
Android Lumberjack Pin,136,34
Android Pocket Onesie Navy,940,50
Android Pocket Onesie White,18,1
Android Pocket Tee Green,718,26
Android Pocket Tee Navy,1453,59
Android Pocket Toddler Tee Navy,522,29
Android Pocket Toddler Tee White,18,1
Android Pocket Youth Tee Green,210,10
Android Pocket Youth Tee Navy,260,12
Android Puzzlebot v2,128,8
Android SM S/F18 Sticker Sheet,230,115
Android Small Trace Journal Black,75,15
Android Super Hero 3D Framed Art,496,31
Android Techie 3D Framed Art,640,40
BLM Unisex Pullover Hoodie,104,2
Candy Cane Android Cardboard Sculpture,8,1
Daddy Works at Google Book,704,44
Essential Canvas Tote,576,18
Flamingo and Friends Tee Blue,448,28
Gift Card - $25.00,1050,42
Gift Card - $50.00,250,5
Gift Card- $100.00,1200,12
Google 16 oz Tumbler Blue,210,21
Google 24 oz Ring Bottle Red,180,30
Google 24oz Ring Bottle Blue,308,44
Google Aluminum Bottle Red,132,22
Google ApPeel Journal Red,330,22
Google Austin Campus Bottle,176,16
Google Austin Campus Ladies Tee,140,10
Google Austin Campus Lapel Pin,36,12
Google Austin Campus Mug,567,81
Google Austin Campus Tote,144,18
Google Austin Campus Unisex Tee,98,7
Google Austin Campus Zip Hoodie,768,24
Google Badge Heavyweight Pullover Black,8464,184
Google Bear Baby Blanket Beige,703,37
Google Beekeepers Onesie Pink,336,24
Google Beekeepers Tee Mint,754,51
Google Beekeepers Toddler Tee Pink,252,18
Google Beekeepers Youth Tee Pink,182,13
Google Bellevue Campus Sticker,8,8
Google Black Cloud Zip Hoodie,3882,66
Google Black Cork Journal,1044,87
Google Blue Kids Sunglasses,156,39
Google Blue Stojo Cup,1075,43
Google Blue YoYo,92,23
Google Bot,312,39
Google Bot (Multicolored),320,40
Google Bottle Cleaner,32,4
Google Boulder Campus Bottle,55,5
Google Boulder Campus Ladies Tee,154,11
Google Boulder Campus Lapel Pin,12,4
Google Boulder Campus Mug,280,35
Google Boulder Campus Sticker,23,23
Google Boulder Campus Tote,36,6
Google Boulder Campus Unisex Tee,266,19
Google Boulder Campus Zip Hoodie,640,20
Google Cambridge Campus Bottle,77,7
Google Cambridge Campus Ladies Tee,92,6
Google Cambridge Campus Lapel Pin,15,5
Google Cambridge Campus Mug,329,47
Google Cambridge Campus Sticker,20,20
Google Cambridge Campus Tote,30,5
Google Cambridge Campus Unisex Tee,194,13
Google Cambridge Campus Zip Hoodie,712,20
Google Camp Mug Gray,1060,106
Google Camp Mug Ivory,2230,223
Google Campus Bike,4440,111
Google Campus Bike Bottle,770,35
Google Campus Bike Carry Pouch,192,24
Google Campus Bike Corkbase Mug Blue,728,52
Google Campus Bike Eco Tee Navy,1015,48
Google Campus Bike Grid Task Pad,240,24
Google Campus Bike Mini Backpack,608,19
Google Campus Bike Tote Navy,504,56
Google Canteen Bottle Black,3456,144
Google Chicago Campus Bottle,176,16
Google Chicago Campus Ladies Tee,140,10
Google Chicago Campus Lapel Pin,21,7
Google Chicago Campus Mug,434,62
Google Chicago Campus Tote,54,9
Google Chicago Campus Unisex Tee,224,16
Google Chicago Campus Zip Hoodie,608,19
Google Chrome Dino Light Up Water Bottle,133,7
Google Chrome Dinosaur Collectible,1392,58
Google Clear Framed Blue Shades,156,52
Google Clear Framed Gray Shades,129,43
Google Clear Framed Yellow Shades,138,46
Google Clear Pen 4-Pack,474,158
Google Cloth & Pouch Black,27,9
Google Cloud Pen,132,44
Google Color Block Notebook,204,17
Google Confetti Accessory Pouch,140,14
Google Confetti Pen White,46,23
Google Confetti Slim Task Pad,114,38
Google Confetti Task Pad,144,24
Google Cork Base Tumbler,946,43
Google Cork Card Holder,442,26
Google Cork Journal,175,25
Google Cork Key Ring,119,17
Google Cork Passport Holder,352,22
Google Cork Pencil Pouch,208,26
Google Cork Tablet Case,102,6
Google Cotopaxi Shell,3572,94
Google Crew Combed Cotton Sock,1428,102
Google Crew Socks,2002,154
Google Crew Striped Athletic Sock,868,62
Google Crewneck Sweatshirt Green,7788,177
Google Crewneck Sweatshirt Grey,4114,93
Google Crewneck Sweatshirt Navy,9900,225
Google Cup Cap Tumbler Grey,672,28
Google Decal,73,73
Google Dino Game Tee,3200,100
Google Emoji Magnet Set,380,38
Google Emoji Sticker Pack,232,58
Google F/C Longsleeve Ash,3432,143
Google F/C Longsleeve Charcoal,4092,164
Google Felt Luggage Tag,120,20
Google Felt Refillable Journal,448,28
Google Felt Strap Keyring,130,13
Google Flat Front Bag Grey,2550,85
Google Frisbee,22,22
Google Glass Bottle,1926,107
Google Heather Green Speckled Tee,1761,76
Google Heathered Pom Beanie,2328,194
Google Hemp Tote,636,53
Google Incognito Dopp Kit V2,646,17
Google Incognito Flap Pack,360,6
Google Incognito Laptop Organizer,810,18
Google Incognito Messenger Bag,840,14
Google Incognito Techpack V2,3010,43
Google Incognito Zip Pack,1525,25
Google Infant Charcoal Onesie,1000,50
Google Infant Hero Onesie Grey,486,27
Google Infant Hero Tee Olive,602,43
Google Jotter Task Pad,28,14
Google KeepCup,1400,50
Google Keychain,568,71
Google Kirkland Campus Ladies Tee,140,10
Google Kirkland Campus Lapel Pin,6,2
Google Kirkland Campus Mug,133,19
Google Kirkland Campus Sticker,10,10
Google Kirkland Campus Unisex Tee,308,22
Google Knit Blanket,980,14
Google LA Campus Bottle,121,11
Google LA Campus Ladies Tee,256,16
Google LA Campus Lapel Pin,33,11
Google LA Campus Mug,399,57
Google LA Campus Sticker,40,40
Google LA Campus Tote,90,15
Google LA Campus Unisex Tee,568,40
Google LA Campus Zip Hoodie,626,19
Google Land & Sea Cotton Cap,1750,125
Google Land & Sea French Terry Sweatshirt,1331,30
Google Land & Sea Journal Set,720,60
Google Land & Sea Mug,742,53
Google Land & Sea Nalgene Water Bottle,1240,62
Google Land & Sea Tech Taco,69,23
Google Land & Sea Tote Bag,624,39
Google Land & Sea Women's Eco Tee,200,10
Google Lapel Pin,328,41
Google Laptop Sleeve Charcoal,192,12
Google Laptop and Cell Phone Stickers,450,150
Google Large Pet Collar (Blue/Green),168,6
Google Large Pet Collar (Red/Yellow),175,5
Google Large Pet Leash (Blue/Green),196,7
Google Large Pet Leash (Red/Yellow),280,8
Google Large Standard Journal Grey,1248,78
Google Large Tote White,790,79
Google Large White Gift Bag 5/PK,120,12
Google Leather Strap Hat Black,686,49
Google Leather Strap Hat Blue,1848,132
Google Light Pen Blue,172,86
Google Light Pen Green,128,64
Google Light Pen Red,144,72
Google Light Pen Yellow,2,1
Google LoveHandle Black,256,32
Google Magnet,642,107
Google Maps Pin,161,23
Google Medium Pet Collar (Blue/Green),168,6
Google Medium Pet Collar (Red/Yellow),140,5
Google Medium Pet Leash (Blue/Green),196,7
Google Medium Pet Leash (Red/Yellow),56,2
Google Men's Discovery Lt. Rain Shell,222,4
Google Men's Puff Jacket Black,5911,63
Google Men's Softshell Moss,2686,34
Google Men's Tech Fleece Grey,9489,123
Google Men's Tech Fleece Vest Charcoal,5059,77
Google Mens Microfleece Jacket Black,420,10
Google Mesh Bag Blue,216,36
Google Mesh Bag Red,90,15
Google Metallic Notebook Set,685,137
Google Mini Kick Ball,82,41
Google Mountain View Campus Ladies Tee,340,24
Google Mountain View Campus Sticker,10,10
Google Mountain View Campus Unisex Tee,112,8
Google Mountain View Campus Zip Hoodie,854,25
Google Mountain View Tee Red,14,1
Google Mouse Pad Navy,100,25
Google Mural Bottle,513,27
Google Mural Mug,588,42
Google Mural Notebook,315,21
Google Mural Socks,612,51
Google Mural Sticker Sheet,207,69
Google Mural Sticky Note Pad,528,48
Google Mural Tote,168,12
Google NYC Campus Bottle,407,37
Google NYC Campus Ladies Tee,428,28
Google NYC Campus Lapel Pin,78,26
Google NYC Campus Mug,686,98
Google NYC Campus Sticker,46,46
Google NYC Campus Unisex Tee,140,10
Google NYC Campus Zip Hoodie,2719,83
Google Navy Speckled Tee,3768,157
Google PNW Campus Bottle,110,10
Google PNW Campus Ladies Tee,92,6
Google PNW Campus Lapel Pin,21,7
Google PNW Campus Mug,413,59
Google PNW Campus Sticker,9,9
Google PNW Campus Tote,36,6
Google PNW Campus Unisex Tee,252,18
Google PNW Campus Zip Hoodie,960,30
Google Packable Bag Black,848,53
Google Pen Bright Blue,50,50
Google Pen Citron,51,51
Google Pen Grass Green,60,30
Google Pen Grey,66,33
Google Pen Lilac,38,38
Google Pen Neon Coral,33,33
Google Pen Red,28,28
Google Pen White,222,111
Google Perk Thermal Tumbler,1840,115
Google Phone Stand Bamboo,224,56
Google Premium Sunglasses,385,35
Google Pride Sticker,50,50
Google Raincoat Navy,2688,26
Google Recycled Notebook Set Natural,156,12
Google Recycled Pen Black,98,49
Google Recycled Pen Green,24,12
Google Recycled Writing Set,153,51
Google Red Kids Sunglasses,108,27
Google Red Speckled Tee,4164,160
Google Red YoYo,78,26
Google SF Campus Bottle,385,35
Google SF Campus Ladies Tee,252,18
Google SF Campus Lapel Pin,42,14
Google SF Campus Mug,28,4
Google SF Campus Tote,222,37
Google SF Campus Unisex Tee,218,15
Google SF Campus Zip Hoodie,1269,36
Google Seaport Tote,1248,26
Google Seattle Campus Ladies Tee,84,6
Google Seattle Campus Lapel Pin,21,7
Google Seattle Campus Mug,448,64
Google Seattle Campus Sticker,29,29
Google Seattle Campus Unisex Tee,28,2
Google See-No Hear-No Set,540,54
Google Separating Keyring,6,1
Google Sherpa Vest Black,1860,28
Google Sherpa Zip Hoodie Charcoal,5775,105
Google Sherpa Zip Hoodie Navy,4675,85
Google Shoreline Water Bottle,780,30
Google Small Cable Organizer Blue,40,20
Google Small Standard Journal Navy,375,75
Google Small White Gift Bag 5/PK,66,11
Google Soft Modal Scarf,1530,34
Google Speckled Beanie Grey,1120,70
Google Speckled Beanie Navy,1504,94
Google Split Seam Tee Olive,819,39
Google Striped Penny Pouch,30,15
Google Stylus Pen w/ LED Light,4,1
Google Summer19 Crew Grey,856,24
Google Sunglasses,486,145
Google Sunnyvale Campus Bottle,154,14
Google Sunnyvale Campus Ladies Tee,308,22
Google Sunnyvale Campus Mug,448,64
Google Sunnyvale Campus Sticker,13,13
Google Sunnyvale Campus Tote,48,8
Google Sunnyvale Campus Unisex Tee,252,18
Google Sunnyvale Campus Zip Hoodie,1152,36
Google Super G Tumbler (Blue Lid),528,24
Google Super G Tumbler (Red Lid),1012,46
Google Sustainable Pencil Pouch,240,30
Google Tech Taco,39,13
Google Tee Blue,162,18
Google Tee F/C Black,114,7
Google Tee Green,162,18
Google Tee Grey,195,19
Google Tee Mint Green,84,6
Google Tee Red,207,23
Google Tee Yellow,324,36
Google Thermal Tumbler Navy,1566,87
Google Toddler FC Tee Charcoal,1135,53
Google Toddler FC Zip Hoodie,2429,80
Google Toddler Hero Tee Black,325,25
Google Toddler Hero Tee Olive,361,19
Google Toddler Tee White,551,29
Google Tonal Tee Coral,63,7
Google Tonal Tee Spearmint,27,3
Google Totepak,152,8
Google Tudes Recycled Tee,504,21
Google Tudes Thermal Bottle,80,2
Google Twill Cap Charcoal,320,32
Google Unisex Eco Tee Black,2980,156
Google Utensil Set,585,39
Google Utility BackPack,4992,52
Google Utility Bag Grey,360,60
Google Women's Black Tee,135,9
Google Women's Discovery Lt. Rain Shell,245,5
Google Women's Eco Tee Black,18,1
Google Women's Grid Zip-Up,3277,58
Google Women's Kirkland Pullover,140,4
Google Women's Microfleece Jacket Black,2130,34
Google Women's Pride Eco-Tee Black,192,16
Google Women's Puff Jacket Black,5750,56
Google Women's Ringer Tee,14,1
Google Women's Softshell Moss,869,11
Google Women's Tech Fleece Grey,1457,19
Google Women's Tech Fleece Vest Charcoal,1122,25
Google Woodtop Bottle Black,1632,68
Google Yellow YoYo,54,18
Google Youth Badge Tee Navy,358,26
Google Youth Badge Tee Olive,416,32
Google Youth F/C Pullover Hoodie,128,4
Google Youth FC Longsleeve Charcoal,804,31
Google Youth FC Tee Charcoal,820,41
Google Youth FC Zip Hoodie,252,7
Google Youth Hero Tee Grey,863,42
Google Youth Hero Tee Maroon,475,25
Google Zip Hoodie F/C,12792,256
Keyboard DOT Sticker,150,75
Maze Pen,49,49
Mommy Works at Google Book,416,26
Mural Food Container,495,15
Noogler Android Figure,1712,107
Snowflake Android Cardboard Sculpture,240,24
Stainless Bent Straw/Cleaner,26,13
Stainless Straight Straw/Cleaner,60,20
Stan and Friends Onesie Green,378,27
Stan and Friends Tee Green,702,47
Stan and Friends Toddler Tee Green,462,31
Stan and Friends Youth Tee Green,266,19
Super G Unisex Joggers,9068,285
Supernatural Paper Backpack,522,9
Supernatural Paper Lunch Sack,247,13
Supernatural Paper Tote,448,16
Unisex Google Jumbo Print Tee White,24,2
Unisex Google Pocket Tee Grey,900,52
Womens Google Striped LS,1424,89
YouTube 25 oz Gear Cap Bottle Black,513,19
YouTube Crew Socks,689,53
YouTube Icon Tee Charcoal,1904,88
YouTube Icon Tee Grey,1284,66
YouTube Iconic Play Pin,162,27
YouTube Jotter Task Pad,122,61
YouTube Leather Strap Hat Black,912,76
YouTube Play Mug,754,58
YouTube Small Sticker Sheet,24,12
YouTube Standards Zip Hoodie Black,948,16
YouTube Transmission Journal Red,352,22
YouTube Twill Sandwich Cap Black,930,93
YouTube Women's Favorite Tee White,54,6
Youth Jumbo Print Tee White,246,15
